Synsets,domain_x,norm,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,raw_translation,raw_translation_lemmas,translation_set,number_tranlsation,number_sense,translation_lemmas_set,number_tranlsation_lemmas,number_sense_lemmas
Synset('blunt_file.n.01'),tool,blunt_file,1,0,0.0,1.0129032258064516,0.4067357512953368,10,1,1,nb,direct direct direct file file ,direct direct direct file file ,"['direct', 'file']",5,2,"['direct', 'file']",5,2
Synset('bodkin.n.04'),tool,bodkin,1,0,0.0,0.9116129032258066,0.7665404543642885,6,2,4,nb,bible body cloth cloth cloth cover cloth cover cover material ,bible body cloth cloth cloth cover cloth cover cover material thread needle needle thread thread ,"['bible', 'cloth', 'body', 'material', 'cover']",10,5,"['bible', 'cloth', 'body', 'material', 'thread', 'cover', 'needle']",15,7
Synset('box_wrench.n.01'),tool,box_wrench,1,0,7.85,1.0129032258064516,1.1263451574332404,10,2,1,nb,break box hold hold hold metal screw tool ,break box hold hold hold metal screw tool break box end end end hold hold ,"['break', 'hold', 'metal', 'screw', 'box', 'tool']",8,6,"['break', 'hold', 'metal', 'end', 'screw', 'box', 'tool']",15,7
Synset('brace_wrench.n.01'),tool,brace_wrench,1,0,0.0,1.0129032258064516,1.2671383021123954,12,1,1,nb,break hold hold hold metal plastic round ,break hold hold hold metal plastic round ,"['break', 'hold', 'metal', 'plastic', 'round']",7,5,"['break', 'hold', 'metal', 'plastic', 'round']",7,5
Synset('bradawl.n.01'),tool,bradawl,1,0,0.0,1.0129032258064516,0.8604025508170586,7,2,2,nb,cloth cloth color cotton material material wool ,cloth cloth color cotton material material wool act sharp cut cut cut edge cut edge edge edge sharp sharp sharp ,"['cotton', 'color', 'wool', 'cloth', 'material']",7,5,"['edge', 'sharp', 'cotton', 'color', 'act', 'wool', 'cut', 'cloth', 'material']",20,9
Synset('brick_trowel.n.01'),tool,brick_trowel,1,0,0.0,1.0129032258064516,0.3754483858110801,12,2,1,nb,build dirt dirt dirt hand heave heave large metal piece piece wood ,build dirt dirt dirt hand heave heave large metal piece piece wood build dirt dirt dirt hand heave heave large metal piece tool ,"['piece', 'metal', 'hand', 'wood', 'heave', 'build', 'dirt', 'large']",12,8,"['piece', 'metal', 'hand', 'wood', 'heave', 'tool', 'build', 'dirt', 'large']",23,9
Synset('bricklayer's_hammer.n.01'),tool,bricklayer,1,0,0.0,1.0129032258064516,0.4693104822638501,19,1,1,nb,build construct construct construct hard heave house ,build construct construct hand heave heave large metal piece tool ,"['hard', 'house', 'construct', 'build', 'heave']",7,5,"['piece', 'metal', 'hand', 'construct', 'tool', 'build', 'heave', 'large']",10,8
Synset('bucksaw.n.01'),tool,bucksaw,1,0,0.0,1.0129032258064516,1.7051614188919888,7,1,1,nb,animal chop chop chop eat food hand hold metal metal plastic round small teeth teeth,animal chop chop chop eat food hand hold metal metal plastic round small teeth teeth,"['hold', 'metal', 'teeth', 'hand', 'food', 'eat', 'plastic', 'animal', 'small', 'chop', 'round']",15,11,"['hold', 'metal', 'teeth', 'hand', 'food', 'eat', 'plastic', 'animal', 'small', 'chop', 'round']",15,11
Synset('bulldog_wrench.n.01'),tool,bulldog_wrench,1,0,0.0,1.0129032258064516,0.8291151853328019,14,1,1,nb,animal chew chew chew dog chew chew claw chew chew teeth teeth teeth chew teeth,animal chew chew chew dog chew chew claw chew chew teeth teeth teeth chew teeth,"['claw', 'chew', 'animal', 'dog', 'teeth']",15,5,"['claw', 'chew', 'animal', 'dog', 'teeth']",15,5
Synset('bullnose.n.01'),tool,bullnose,1,0,0.0,1.0129032258064516,0.969908330011957,8,2,1,nb,animal beak beak bird beak brown brown brown color eat eat fly fly,animal beak beak bird beak brown brown brown color eat eat fly flyairplane airplane airplane fly fly large large plane ,"['bird', 'beak', 'brown', 'color', 'fly', 'eat', 'animal']",13,7,"['bird', 'beak', 'brown', 'color', 'flyairplane', 'airplane', 'fly', 'plane', 'eat', 'animal', 'large']",20,11
Synset('can_opener.n.01'),tool,can_opener,1,1,0.0,1.0129032258064516,0.4693104822638501,10,2,1,b,breakfast can open food food hold metal plastic round round ,breakfast can open food food hold metal plastic round round breakfast close close food food metal plastic round round small ,"['hold', 'metal', 'open', 'can', 'food', 'plastic', 'breakfast', 'round']",10,8,"['hold', 'metal', 'open', 'can', 'food', 'plastic', 'small', 'breakfast', 'round', 'close']",20,10
Synset('carpenter's_hammer.n.01'),tool,carpenter,1,0,0.0,1.0129032258064516,0.7821841371064169,10,3,1,nb,build car car build home person repair work ,build construct construct hammer hand heave heave large metal piece tool break hammer hammer hammer nail nail nail point sharp sharp sharp break hammer hammer hammer nail nail nail point sharp sharp tool ,"['car', 'home', 'person', 'repair', 'work', 'build']",8,6,"['break', 'piece', 'hammer', 'metal', 'point', 'sharp', 'hand', 'construct', 'tool', 'build', 'heave', 'nail', 'large']",33,13
Synset('carpenter's_mallet.n.01'),tool,carpenter,1,0,0.0,1.1141935483870968,1.157632522917497,18,1,1,nb,build car car build home person repair work ,build hammer hammer hand heave heave large metal round tool wood ,"['car', 'home', 'person', 'repair', 'work', 'build']",8,6,"['hammer', 'metal', 'hand', 'wood', 'tool', 'build', 'heave', 'large', 'round']",11,9
Synset('carpenter's_square.n.01'),tool,carpenter,1,0,0.0,1.0129032258064516,0.922977281785572,18,1,1,nb,build car car build home person repair work ,build build build build house house house ,"['car', 'home', 'person', 'repair', 'work', 'build']",8,6,"['build', 'house']",7,2
Synset('carriage_wrench.n.01'),tool,carriage_wrench,1,0,0.0,1.0129032258064516,0.7039657233957752,15,1,1,nb,car break hold hold hand hold hold metal metal screw tool ,car break hold hold hand hold hold metal metal screw tool ,"['break', 'hold', 'metal', 'car', 'hand', 'screw', 'tool']",11,7,"['break', 'hold', 'metal', 'car', 'hand', 'screw', 'tool']",11,7
Synset('chain_tongs.n.01'),tool,chain_tongs,1,1,7.85,1.215483870967742,2.2526903148664807,11,1,1,nb,bend string metal plastic string string ,bend string metal plastic string string ,"['metal', 'plastic', 'string', 'bend']",6,4,"['metal', 'plastic', 'string', 'bend']",6,4
Synset('chain_wrench.n.01'),tool,chain_wrench,1,0,0.0,1.3167741935483872,0.4380231167795934,12,1,1,nb,break hold hold hold metal plastic round ,break hold hold hold metal plastic round ,"['break', 'hold', 'metal', 'plastic', 'round']",7,5,"['break', 'hold', 'metal', 'plastic', 'round']",7,5
Synset('chamfer_plane.n.01'),tool,chamfer_plane,1,0,0.0,1.0129032258064516,0.5162415304902351,13,1,1,nb,airplane airplane fly fly large metal plane transport travel ,airplane airplane fly fly large metal plane transport travel ,"['transport', 'travel', 'metal', 'airplane', 'fly', 'plane', 'large']",9,7,"['transport', 'travel', 'metal', 'airplane', 'fly', 'plane', 'large']",9,7
Synset('church_key.n.01'),tool,church_key,1,0,0.0,1.1141935483870968,1.157632522917497,10,1,1,nb,accessory church door key key lock lock ,accessory church door key key lock lock ,"['key', 'door', 'church', 'lock', 'accessory']",7,5,"['key', 'door', 'church', 'lock', 'accessory']",7,5
Synset('circular_plane.n.01'),tool,circular_plane,1,0,0.0,1.0129032258064516,1.0950577919489837,13,2,1,nb,circle plane plane round round ,circle plane plane round round airplane compass compass compass fly plane plane plane ,"['circle', 'round', 'plane']",5,3,"['circle', 'compass', 'airplane', 'fly', 'plane', 'round']",13,6
Synset('coal_shovel.n.01'),tool,coal_shovel,1,0,0.0,1.0129032258064516,0.5005978477481068,11,1,1,nb,coal dirt dirt dirt ground ground ground move shovel ,coal dirt dirt dirt ground ground ground move shovel ,"['shovel', 'ground', 'coal', 'move', 'dirt']",9,5,"['shovel', 'ground', 'coal', 'move', 'dirt']",9,5
Synset('combination_plane.n.01'),tool,combination_plane,1,0,0.0,1.0129032258064516,1.0950577919489837,17,1,1,nb,airplane combine combine plane plane together ,airplane combine combine plane plane together ,"['together', 'airplane', 'combine', 'plane']",6,4,"['together', 'airplane', 'combine', 'plane']",6,4
Synset('compass_saw.n.01'),tool,compass_saw,1,0,0.0,1.1141935483870968,0.922977281785572,11,1,1,nb,assist compass compass compass map map point point see ,assist compass compass compass map map point point see ,"['assist', 'map', 'point', 'see', 'compass']",9,5,"['assist', 'map', 'point', 'see', 'compass']",9,5
Synset('coping_saw.n.01'),tool,coping_saw,1,0,0.0,1.1141935483870968,1.110701474691112,10,1,1,nb,carpet cut cut cut edge cut edge saw wood ,carpet cut cut cut edge cut edge saw wood ,"['edge', 'saw', 'carpet', 'wood', 'cut']",9,5,"['edge', 'saw', 'carpet', 'wood', 'cut']",9,5
Synset('crescent_wrench.n.01'),tool,crescent_wrench,1,0,0.0,1.1141935483870968,1.7208051016341173,15,1,1,nb,break break hold hold hold metal round screw tool ,break break hold hold hold metal round screw tool ,"['break', 'hold', 'metal', 'screw', 'tool', 'round']",9,6,"['break', 'hold', 'metal', 'screw', 'tool', 'round']",9,6
Synset('crosscut_saw.n.01'),tool,crosscut_saw,1,0,0.0,1.1141935483870968,0.969908330011957,10,3,1,nb,cut cut cut cut edge wood ,cut cut cut cut edge wood cut cut cut cut edge edge hand heave heave human long metal pointcut cut cut cut edge end end end tool ,"['wood', 'edge', 'cut']",6,3,"['edge', 'metal', 'hand', 'long', 'wood', 'cut', 'end', 'human', 'tool', 'heave', 'pointcut']",27,11
Synset('crown_saw.n.01'),tool,crown_saw,1,0,0.0,1.0129032258064516,0.8604025508170586,9,1,1,nb,crown crown crown jewel jewel gold jewel jesus ,crown crown crown jewel jewel gold jewel jesus ,"['crown', 'jesus', 'jewel', 'gold']",8,4,"['crown', 'jesus', 'jewel', 'gold']",8,4
Synset('dado_plane.n.01'),tool,dado_plane,1,0,0.0,1.1141935483870968,0.5005978477481068,10,1,1,nb,airplane airplane fly plane plane transport ,airplane airplane fly plane plane transport ,"['airplane', 'transport', 'fly', 'plane']",6,4,"['airplane', 'transport', 'fly', 'plane']",6,4
Synset('ditch_spade.n.01'),tool,ditch_spade,1,0,0.0,1.1141935483870968,0.8291151853328019,11,2,1,nb,dirt dig hole hole hole shovel hole shovel ,dirt dig hole hole hole shovel hole shovel carry carry hand hold long metal plastic sharp sharp ,"['shovel', 'hole', 'dirt', 'dig']",8,4,"['shovel', 'hold', 'metal', 'sharp', 'hand', 'long', 'plastic', 'hole', 'dig', 'carry', 'dirt']",17,11
Synset('dog_wrench.n.01'),tool,dog_wrench,1,0,0.0,1.0129032258064516,0.6570346751693902,10,1,1,nb,animal chew chew chew dog chew chew teeth teeth teeth ,animal chew chew chew dog chew chew teeth teeth teeth ,"['teeth', 'animal', 'dog', 'chew']",10,4,"['teeth', 'animal', 'dog', 'chew']",10,4
Synset('dovetail_plane.n.01'),tool,dovetail_plane,1,0,0.0,1.0129032258064516,1.063770426464727,14,1,1,nb,airplane airplane airplane fly wing wing ,airplane airplane airplane fly wing wing ,"['airplane', 'wing', 'fly']",6,3,"['airplane', 'wing', 'fly']",6,3
Synset('entrenching_tool.n.01'),tool,entrenching_tool,1,0,0.0,1.0129032258064516,0.8916899163013152,15,2,1,nb,build build build build hold hold hold tool ,build build build build hold hold hold tool bend dirt dig dig dig hole dig hole hole hole ,"['tool', 'build', 'hold']",8,3,"['hold', 'hole', 'dig', 'bend', 'tool', 'build', 'dirt']",18,7
Synset('file.n.04'),tool,file,1,7,7.85,0.9116129032258066,1.6425866879234754,4,1,9,b,book document document paper paper file ,book document document paper paper file ,"['paper', 'book', 'file', 'document']",6,4,"['paper', 'book', 'file', 'document']",6,4
Synset('flat_file.n.01'),tool,flat_file,1,0,0.0,1.0129032258064516,0.4536667995217218,9,1,1,nb,area flat flat piece square square square ,area flat flat piece square square square ,"['flat', 'piece', 'area', 'square']",7,4,"['flat', 'piece', 'area', 'square']",7,4
Synset('flat_tip_screwdriver.n.01'),tool,flat_tip_screwdriver,1,0,0.0,1.0129032258064516,1.3610003985651653,20,1,1,nb,bend tool screw screw tool ,bend tool screw screw tool ,"['tool', 'screw', 'bend']",5,3,"['tool', 'screw', 'bend']",5,3
Synset('float.n.05'),tool,float,1,0,0.0,0.9116129032258066,1.6269430051813472,5,2,16,b,act air animal animal animal body body body control control control body control dance dance,act air animal animal animal body body body control control control body control dance dancebuild float float float ,"['dance', 'control', 'act', 'air', 'animal', 'body']",15,6,"['dance', 'control', 'act', 'air', 'float', 'animal', 'body', 'dancebuild']",18,8
Synset('folding_saw.n.01'),tool,folding_saw,1,0,0.0,1.0129032258064516,1.2671383021123954,11,1,1,nb,cut cloth fold fold paper piece ,cut cloth fold fold paper piece ,"['piece', 'fold', 'cut', 'cloth', 'paper']",6,5,"['piece', 'fold', 'cut', 'cloth', 'paper']",6,5
Synset('fore_plane.n.01'),tool,fore_plane,1,0,0.0,1.0129032258064516,1.1419888401753686,10,1,1,nb,airplane airplane fly plane plane ,airplane airplane fly plane plane ,"['airplane', 'fly', 'plane']",5,3,"['airplane', 'fly', 'plane']",5,3
Synset('garden_spade.n.01'),tool,garden_spade,1,0,0.0,1.1141935483870968,0.3910920685532084,12,1,1,nb,bark garden garden hand garden hand heave garden hand long metal pickle,bark garden garden hand garden hand heave garden hand long metal pickle,"['metal', 'pickle', 'hand', 'bark', 'long', 'garden', 'heave']",12,7,"['metal', 'pickle', 'hand', 'bark', 'long', 'garden', 'heave']",12,7
Synset('garden_trowel.n.01'),tool,garden_trowel,1,0,0.0,1.0129032258064516,0.4067357512953368,13,1,1,nb,bark dirt dirt dirt garden garden hand garden hand heave ground ground ground,bark dirt dirt dirt garden garden hand garden hand heave ground ground ground,"['ground', 'hand', 'bark', 'garden', 'heave', 'dirt']",13,6,"['ground', 'hand', 'bark', 'garden', 'heave', 'dirt']",13,6
Synset('gavel.n.01'),tool,gavel,1,0,0.0,1.1141935483870968,0.8291151853328019,5,1,1,nb,bake grain grain grain ground ground hard hard ,bake grain grain grain ground ground hard hard ,"['ground', 'grain', 'hard', 'bake']",8,4,"['ground', 'grain', 'hard', 'bake']",8,4
Synset('hacksaw.n.01'),tool,hacksaw,1,0,0.0,1.0129032258064516,0.6257473096851335,7,3,1,nb,build chop cut cut edge hand heave heave metal piece piece tool ,build chop cut cut edge hand heave heave metal piece piece tool break cut cut cut tool cut cut cut metal piece saw tool ,"['piece', 'edge', 'metal', 'hand', 'cut', 'build', 'tool', 'chop', 'heave']",12,9,"['break', 'piece', 'edge', 'metal', 'saw', 'hand', 'cut', 'build', 'tool', 'chop', 'heave']",24,11
Synset('hammer.n.02'),tool,hammer,1,9,15.7,0.9116129032258066,1.5017935432443204,6,1,10,b,break hammer hammer hammer heave heave large heave nail nail nail metal,break hammer hammer hammer heave heave large heave nail nail nail metal,"['break', 'hammer', 'metal', 'heave', 'nail', 'large']",12,6,"['break', 'hammer', 'metal', 'heave', 'nail', 'large']",12,6
Synset('hand_shovel.n.01'),tool,hand_shovel,2,6,0.0,0.9116129032258066,0.5162415304902351,11,1,1,nb,clean dirt dirt dirt hand move shovel ,clean dirt dirt dirt hand move shovel ,"['shovel', 'hand', 'move', 'dirt', 'clean']",7,5,"['shovel', 'hand', 'move', 'dirt', 'clean']",7,5
Synset('hand_tool.n.01'),tool,hand_tool,1,156,7.85,0.8103225806451614,0.4849541650059785,9,1,1,nb,hand hold tool tool ,hand hold tool tool ,"['hand', 'tool', 'hold']",4,3,"['hand', 'tool', 'hold']",4,3
Synset('handsaw.n.01'),tool,handsaw,1,8,0.0,1.0129032258064516,0.6413909924272618,7,3,1,nb,cut blade blade cut edge edge edge hand heave heave metal metal point,cut blade blade cut edge edge edge hand heave heave metal metal pointcut cut cut cut edge edge hand heave metal point saw tool wood build cut cut cut edge hand heave heave metal piece tool wood ,"['edge', 'metal', 'point', 'hand', 'cut', 'blade', 'heave']",13,7,"['piece', 'edge', 'metal', 'point', 'saw', 'hand', 'wood', 'cut', 'blade', 'tool', 'build', 'heave', 'pointcut']",37,13
Synset('hook_wrench.n.01'),tool,hook_wrench,1,0,0.0,1.0129032258064516,0.8447588680749303,11,2,1,nb,hook hold hold metal screw ,hook hold hold metal screw hook hold metal plastic round string ,"['metal', 'hold', 'hook', 'screw']",5,4,"['string', 'hold', 'metal', 'plastic', 'screw', 'round', 'hook']",11,7
Synset('icepick.n.01'),tool,icepick,1,0,7.85,1.0129032258064516,1.3297130330809086,7,2,1,b,pick pick pick pick ,pick pick pick pick pick pick pick pick ,['pick'],4,1,['pick'],8,1
Synset('jack_plane.n.01'),tool,jack_plane,1,0,0.0,1.0129032258064516,0.6101036269430051,10,1,1,nb,airplane airplane fly large metal plane transport transport ,airplane airplane fly large metal plane transport transport ,"['transport', 'metal', 'airplane', 'fly', 'plane', 'large']",8,6,"['transport', 'metal', 'airplane', 'fly', 'plane', 'large']",8,6
Synset('jointer.n.01'),tool,jointer,1,0,0.0,1.0129032258064516,1.3140693503387804,7,4,1,nb,bend join join piece sew sew together ,bend join join piece sew sew together airplane airplane fly metal plane plane airplane airplane plane plane plane transport airplane long plane long plane ,"['piece', 'sew', 'together', 'join', 'bend']",7,5,"['piece', 'transport', 'metal', 'sew', 'airplane', 'long', 'fly', 'together', 'plane', 'join', 'bend']",24,11
Synset('keyhole_saw.n.01'),tool,keyhole_saw,1,0,0.0,1.1141935483870968,1.4392188122758072,11,1,1,nb,hole hole hole see see ,hole hole hole see see ,"['see', 'hole']",5,2,"['see', 'hole']",5,2
Synset('locking_pliers.n.01'),tool,locking_pliers,1,0,0.0,1.0129032258064516,0.5318852132323635,14,1,1,nb,accessory hold hold hold metal plastic pull ,accessory hold hold hold metal plastic pull ,"['hold', 'metal', 'plastic', 'pull', 'accessory']",7,5,"['hold', 'metal', 'plastic', 'pull', 'accessory']",7,5
Synset('lug_wrench.n.01'),tool,lug_wrench,1,0,7.85,1.0129032258064516,1.3610003985651653,10,1,1,nb,break hold hold hold metal screw tool ,break hold hold hold metal screw tool ,"['break', 'hold', 'metal', 'screw', 'tool']",7,5,"['break', 'hold', 'metal', 'screw', 'tool']",7,5
Synset('match_plane.n.01'),tool,match_plane,1,0,0.0,1.0129032258064516,1.4235751295336787,11,2,1,nb,airplane airplane fly plane plane plane transport travel ,airplane airplane fly plane plane plane transport travel airplane dance dance music music music sing song ,"['travel', 'transport', 'airplane', 'fly', 'plane']",8,5,"['music', 'travel', 'transport', 'dance', 'airplane', 'fly', 'plane', 'sing', 'song']",16,9
Synset('maul.n.01'),tool,maul,1,0,0.0,1.0129032258064516,0.9073335990434436,4,3,5,nb,act animal animal animal bad bad bad danger danger danger dog danger danger human hurt hurt hurt,act animal animal animal bad bad bad danger danger danger dog danger danger human hurt hurt hurtbreakledge hammer hammer hand heave heave large heave metal large metalbreakledge hammer hammer hammer heave heave large heave loud loud loud metal,"['hurt', 'act', 'danger', 'animal', 'bad', 'human', 'dog']",17,7,"['hurt', 'hammer', 'large', 'metal', 'metalbreakledge', 'act', 'hand', 'danger', 'animal', 'bad', 'human', 'hurtbreakledge', 'heave', 'dog', 'loud']",38,15
Synset('miter_box.n.01'),tool,miter_box,1,0,0.0,0.9116129032258066,1.0324830609804705,9,2,1,b,box cut box cut piece piece ,box cut box cut piece piece box box contain hold metal plastic store ,"['box', 'piece', 'cut']",6,3,"['piece', 'hold', 'metal', 'contain', 'store', 'cut', 'plastic', 'box']",13,8
Synset('monkey-wrench.n.01'),tool,monkey-wrench,1,0,0.0,1.1141935483870968,0.922977281785572,13,2,1,nb,animal claw claw claw hand hold hand hold metal metal plastic round small tool ,animal claw claw claw hand hold hand hold metal metal plastic round small tool animal animal claw claw claw hand hold hand hold human long metal metal object plastic,"['claw', 'hold', 'metal', 'hand', 'plastic', 'animal', 'small', 'tool', 'round']",14,9,"['claw', 'hold', 'metal', 'object', 'hand', 'long', 'plastic', 'animal', 'small', 'human', 'tool', 'round']",29,12
Synset('nailfile.n.01'),tool,nailfile,1,0,0.0,1.0129032258064516,0.6101036269430051,8,1,1,nb,bend nail nail nail polish polish polish ,bend nail nail nail polish polish polish ,"['nail', 'polish', 'bend']",7,3,"['nail', 'polish', 'bend']",7,3
Synset('needlenose_pliers.n.01'),tool,needlenose_pliers,1,0,0.0,1.0129032258064516,0.7196094061379036,17,1,1,nb,break break hold hold hold metal plastic pull string ,break break hold hold hold metal plastic pull string ,"['break', 'hold', 'metal', 'plastic', 'pull', 'string']",9,6,"['break', 'hold', 'metal', 'plastic', 'pull', 'string']",9,6
Synset('open-end_wrench.n.01'),tool,open-end_wrench,1,1,0.0,1.0129032258064516,1.3140693503387804,13,2,1,nb,begin end end end tool ,begin end end end tool appliance eat food metal plastic round round ,"['begin', 'end', 'tool']",5,3,"['metal', 'begin', 'food', 'eat', 'appliance', 'plastic', 'end', 'tool', 'round']",12,9
Synset('openside_plane.n.01'),tool,openside_plane,1,1,0.0,1.0129032258064516,0.6726783579115185,12,2,1,nb,airplane airplane close door open plane plane ,airplane airplane close door open plane plane animal beak beak bird bird bird fly fly large mammal small wing ,"['open', 'airplane', 'plane', 'door', 'close']",7,5,"['bird', 'beak', 'wing', 'open', 'airplane', 'fly', 'plane', 'door', 'mammal', 'animal', 'small', 'large', 'close']",19,13
Synset('palette_knife.n.01'),tool,palette_knife,1,0,0.0,1.0129032258064516,1.173276205659625,13,1,1,nb,cut edge cut edge edge edge sharp sharp sharp tool ,cut edge cut edge edge edge sharp sharp sharp tool ,"['tool', 'edge', 'cut', 'sharp']",10,4,"['tool', 'edge', 'cut', 'sharp']",10,4
Synset('pestle.n.03'),tool,pestle,1,0,0.0,0.9116129032258066,1.0950577919489837,6,1,4,b,bug bug bug fly insect small ,bug bug bug fly insect small ,"['bug', 'insect', 'fly', 'small']",6,4,"['bug', 'insect', 'fly', 'small']",6,4
Synset('phillips_screwdriver.n.01'),tool,phillips_screwdriver,1,0,0.0,1.0129032258064516,0.6570346751693902,20,1,1,nb,carpentry screw screw tool ,bend tool screw screw tool ,"['tool', 'carpentry', 'screw']",4,3,"['tool', 'screw', 'bend']",5,3
Synset('pick.n.06'),tool,pick,1,2,0.0,0.9116129032258066,0.9073335990434436,4,1,21,nb,pick pick pick ,pick pick pick ,['pick'],3,1,['pick'],3,1
Synset('pin_wrench.n.01'),tool,pin_wrench,1,0,0.0,1.0129032258064516,1.3297130330809086,10,1,1,nb,break hold hold hold metal round screw tool ,break hold hold hold metal round screw tool ,"['break', 'hold', 'metal', 'screw', 'tool', 'round']",8,6,"['break', 'hold', 'metal', 'screw', 'tool', 'round']",8,6
Synset('pincer.n.01'),tool,pincer,1,1,0.0,0.9116129032258066,1.0481267437225987,6,4,2,b,animal appendage appendage arm appendage grasp grasp grasp grip grasp grasp hold,animal appendage appendage arm appendage grasp grasp grasp grip grasp grasp holdtwo appendage appendage arm appendage body appendage hand long appendageblow blow dry electric electric electric hair metal plastic round round combine hair pair pair pair ,"['arm', 'hold', 'grip', 'animal', 'grasp', 'appendage']",12,6,"['dry', 'appendageblow', 'grasp', 'appendage', 'round', 'blow', 'pair', 'combine', 'long', 'plastic', 'grip', 'hair', 'holdtwo', 'body', 'arm', 'metal', 'hand', 'electric', 'animal']",36,19
Synset('pipe_wrench.n.01'),tool,pipe_wrench,1,3,0.0,1.1141935483870968,1.673874053407732,11,2,1,nb,break hold hold hold metal metal plastic screw tool ,break hold hold hold metal metal plastic screw tool break break hold hold hold metal plastic screw tool ,"['break', 'hold', 'metal', 'plastic', 'screw', 'tool']",9,6,"['break', 'hold', 'metal', 'plastic', 'screw', 'tool']",18,6
Synset('pitchfork.n.01'),tool,pitchfork,1,0,7.85,0.9116129032258066,1.3297130330809086,9,1,2,b,cut edge edge edge sharp sharp sharp tool ,cut edge edge edge sharp sharp sharp tool ,"['tool', 'edge', 'cut', 'sharp']",8,4,"['tool', 'edge', 'cut', 'sharp']",8,4
Synset('pitsaw.n.01'),tool,pitsaw,1,0,0.0,1.1141935483870968,1.845954563571144,6,1,1,nb,bark chop chop chop fire fire fire hand heave heave metal metal,bark chop chop chop fire fire fire hand heave heave metal metal,"['metal', 'fire', 'hand', 'bark', 'chop', 'heave']",12,6,"['metal', 'fire', 'hand', 'bark', 'chop', 'heave']",12,6
