Synsets,domain_x,norm,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,raw_translation,raw_translation_lemmas
Synset('box_wrench.n.01'),tool,box_wrench,1,0,7.85,1.0129032258064516,1.1263451574332404,10,2,1,nb,break box hold hold hold metal screw tool ,"['break box hold hold hold metal screw tool ', 'break box end end end hold hold ']"
Synset('brace_wrench.n.01'),tool,brace_wrench,1,0,0.0,1.0129032258064516,1.2671383021123954,12,1,1,nb,break hold hold hold metal plastic round ,['break hold hold hold metal plastic round ']
Synset('bradawl.n.01'),tool,bradawl,1,0,0.0,1.0129032258064516,0.8604025508170586,7,2,2,nb,cloth cloth color cotton material material wool ,"['cloth cloth color cotton material material wool ', 'act sharp cut cut cut edge cut edge edge edge sharp sharp sharp ']"
Synset('brick_trowel.n.01'),tool,brick_trowel,1,0,0.0,1.0129032258064516,0.3754483858110801,12,2,1,nb,build dirt dirt dirt hand heave heave large metal piece piece wood ,"['build dirt dirt dirt hand heave heave large metal piece piece wood ', 'build dirt dirt dirt hand heave heave large metal piece tool ']"
Synset('bricklayer's_hammer.n.01'),tool,bricklayer,1,0,0.0,1.0129032258064516,0.4693104822638501,19,1,1,nb,build construct construct construct hard heave house ,['build construct construct hand heave heave large metal piece tool ']
Synset('bucksaw.n.01'),tool,bucksaw,1,0,0.0,1.0129032258064516,1.7051614188919888,7,1,1,nb,animal chop chop chop eat food hand hold metal metal plastic round small teeth teeth,['animal chop chop chop eat food hand hold metal metal plastic round small teeth teeth']
Synset('bulldog_wrench.n.01'),tool,bulldog_wrench,1,0,0.0,1.0129032258064516,0.8291151853328019,14,1,1,nb,animal chew chew chew dog chew chew claw chew chew teeth teeth teeth chew teeth,['animal chew chew chew dog chew chew claw chew chew teeth teeth teeth chew teeth']
Synset('bullnose.n.01'),tool,bullnose,1,0,0.0,1.0129032258064516,0.969908330011957,8,2,1,nb,animal beak beak bird beak brown brown brown color eat eat fly fly,"['animal beak beak bird beak brown brown brown color eat eat fly fly', 'airplane airplane airplane fly fly large large plane ']"
Synset('can_opener.n.01'),tool,can_opener,1,1,0.0,1.0129032258064516,0.4693104822638501,10,2,1,b,breakfast can open food food hold metal plastic round round ,"['breakfast can open food food hold metal plastic round round ', 'breakfast close close food food metal plastic round round small ']"
Synset('carpenter's_hammer.n.01'),tool,carpenter,1,0,0.0,1.0129032258064516,0.7821841371064169,10,3,1,nb,build car car build home person repair work ,"['build construct construct hammer hand heave heave large metal piece tool ', 'break hammer hammer hammer nail nail nail point sharp sharp sharp ', 'break hammer hammer hammer nail nail nail point sharp sharp tool ']"
Synset('carpenter's_mallet.n.01'),tool,carpenter,1,0,0.0,1.1141935483870968,1.157632522917497,18,1,1,nb,build car car build home person repair work ,['build hammer hammer hand heave heave large metal round tool wood ']
Synset('carpenter's_square.n.01'),tool,carpenter,1,0,0.0,1.0129032258064516,0.922977281785572,18,1,1,nb,build car car build home person repair work ,['build build build build house house house ']
Synset('carriage_wrench.n.01'),tool,carriage_wrench,1,0,0.0,1.0129032258064516,0.7039657233957752,15,1,1,nb,car break hold hold hand hold hold metal metal screw tool ,['car break hold hold hand hold hold metal metal screw tool ']
Synset('chain_tongs.n.01'),tool,chain_tongs,1,1,7.85,1.215483870967742,2.2526903148664807,11,1,1,nb,bend string metal plastic string string ,['bend string metal plastic string string ']
Synset('chain_wrench.n.01'),tool,chain_wrench,1,0,0.0,1.3167741935483872,0.4380231167795934,12,1,1,nb,break hold hold hold metal plastic round ,['break hold hold hold metal plastic round ']
Synset('chamfer_plane.n.01'),tool,chamfer_plane,1,0,0.0,1.0129032258064516,0.5162415304902351,13,1,1,nb,airplane airplane fly fly large metal plane transport travel ,['airplane airplane fly fly large metal plane transport travel ']
Synset('church_key.n.01'),tool,church_key,1,0,0.0,1.1141935483870968,1.157632522917497,10,1,1,nb,accessory church door key key lock lock ,['accessory church door key key lock lock ']
Synset('circular_plane.n.01'),tool,circular_plane,1,0,0.0,1.0129032258064516,1.0950577919489837,13,2,1,nb,circle plane plane round round ,"['circle plane plane round round ', 'airplane compass compass compass fly plane plane plane ']"
Synset('coal_shovel.n.01'),tool,coal_shovel,1,0,0.0,1.0129032258064516,0.5005978477481068,11,1,1,nb,coal dirt dirt dirt ground ground ground move shovel ,['coal dirt dirt dirt ground ground ground move shovel ']
Synset('combination_plane.n.01'),tool,combination_plane,1,0,0.0,1.0129032258064516,1.0950577919489837,17,1,1,nb,airplane combine combine plane plane together ,['airplane combine combine plane plane together ']
Synset('compass_saw.n.01'),tool,compass_saw,1,0,0.0,1.1141935483870968,0.922977281785572,11,1,1,nb,assist compass compass compass map map point point see ,['assist compass compass compass map map point point see ']
Synset('coping_saw.n.01'),tool,coping_saw,1,0,0.0,1.1141935483870968,1.110701474691112,10,1,1,nb,carpet cut cut cut edge cut edge saw wood ,['carpet cut cut cut edge cut edge saw wood ']
Synset('crescent_wrench.n.01'),tool,crescent_wrench,1,0,0.0,1.1141935483870968,1.7208051016341173,15,1,1,nb,break break hold hold hold metal round screw tool ,['break break hold hold hold metal round screw tool ']
Synset('crosscut_saw.n.01'),tool,crosscut_saw,1,0,0.0,1.1141935483870968,0.969908330011957,10,3,1,nb,cut cut cut cut edge wood ,"['cut cut cut cut edge wood ', 'cut cut cut cut edge edge hand heave heave human long metal point', 'cut cut cut cut edge end end end tool ']"
Synset('crown_saw.n.01'),tool,crown_saw,1,0,0.0,1.0129032258064516,0.8604025508170586,9,1,1,nb,crown crown crown jewel jewel gold jewel jesus ,['crown crown crown jewel jewel gold jewel jesus ']
Synset('dado_plane.n.01'),tool,dado_plane,1,0,0.0,1.1141935483870968,0.5005978477481068,10,1,1,nb,airplane airplane fly plane plane transport ,['airplane airplane fly plane plane transport ']
Synset('ditch_spade.n.01'),tool,ditch_spade,1,0,0.0,1.1141935483870968,0.8291151853328019,11,2,1,nb,dirt dig hole hole hole shovel hole shovel ,"['dirt dig hole hole hole shovel hole shovel ', 'carry carry hand hold long metal plastic sharp sharp ']"
Synset('dog_wrench.n.01'),tool,dog_wrench,1,0,0.0,1.0129032258064516,0.6570346751693902,10,1,1,nb,animal chew chew chew dog chew chew teeth teeth teeth ,['animal chew chew chew dog chew chew teeth teeth teeth ']
Synset('dovetail_plane.n.01'),tool,dovetail_plane,1,0,0.0,1.0129032258064516,1.063770426464727,14,1,1,nb,airplane airplane airplane fly wing wing ,['airplane airplane airplane fly wing wing ']
Synset('entrenching_tool.n.01'),tool,entrenching_tool,1,0,0.0,1.0129032258064516,0.8916899163013152,15,2,1,nb,build build build build hold hold hold tool ,"['build build build build hold hold hold tool ', 'bend dirt dig dig dig hole dig hole hole hole ']"
Synset('file.n.04'),tool,file,1,7,7.85,0.9116129032258066,1.6425866879234754,4,1,9,b,book document document paper paper file ,['book document document paper paper file ']
Synset('flat_file.n.01'),tool,flat_file,1,0,0.0,1.0129032258064516,0.4536667995217218,9,1,1,nb,area flat flat piece square square square ,['area flat flat piece square square square ']
Synset('flat_tip_screwdriver.n.01'),tool,flat_tip_screwdriver,1,0,0.0,1.0129032258064516,1.3610003985651653,20,1,1,nb,bend tool screw screw tool ,['bend tool screw screw tool ']
Synset('float.n.05'),tool,float,1,0,0.0,0.9116129032258066,1.6269430051813472,5,2,16,b,act air animal animal animal body body body control control control body control dance dance,"['act air animal animal animal body body body control control control body control dance dance', 'build float float float ']"
Synset('folding_saw.n.01'),tool,folding_saw,1,0,0.0,1.0129032258064516,1.2671383021123954,11,1,1,nb,cut cloth fold fold paper piece ,['cut cloth fold fold paper piece ']
Synset('fore_plane.n.01'),tool,fore_plane,1,0,0.0,1.0129032258064516,1.1419888401753686,10,1,1,nb,airplane airplane fly plane plane ,['airplane airplane fly plane plane ']
Synset('garden_spade.n.01'),tool,garden_spade,1,0,0.0,1.1141935483870968,0.3910920685532084,12,1,1,nb,bark garden garden hand garden hand heave garden hand long metal pickle,['bark garden garden hand garden hand heave garden hand long metal pickle']
Synset('garden_trowel.n.01'),tool,garden_trowel,1,0,0.0,1.0129032258064516,0.4067357512953368,13,1,1,nb,bark dirt dirt dirt garden garden hand garden hand heave ground ground ground,['bark dirt dirt dirt garden garden hand garden hand heave ground ground ground']
Synset('gavel.n.01'),tool,gavel,1,0,0.0,1.1141935483870968,0.8291151853328019,5,1,1,nb,bake grain grain grain ground ground hard hard ,['bake grain grain grain ground ground hard hard ']
Synset('hacksaw.n.01'),tool,hacksaw,1,0,0.0,1.0129032258064516,0.6257473096851335,7,3,1,nb,build chop cut cut edge hand heave heave metal piece piece tool ,"['build chop cut cut edge hand heave heave metal piece piece tool ', 'break cut cut cut tool ', 'cut cut cut metal piece saw tool ']"
Synset('hammer.n.02'),tool,hammer,1,9,15.7,0.9116129032258066,1.5017935432443204,6,1,10,b,break hammer hammer hammer heave heave large heave nail nail nail metal,['break hammer hammer hammer heave heave large heave nail nail nail metal']
Synset('hand_shovel.n.01'),tool,hand_shovel,2,6,0.0,0.9116129032258066,0.5162415304902351,11,1,1,nb,clean dirt dirt dirt hand move shovel ,['clean dirt dirt dirt hand move shovel ']
Synset('hand_tool.n.01'),tool,hand_tool,1,156,7.85,0.8103225806451614,0.4849541650059785,9,1,1,nb,hand hold tool tool ,['hand hold tool tool ']
Synset('handsaw.n.01'),tool,handsaw,1,8,0.0,1.0129032258064516,0.6413909924272618,7,3,1,nb,cut blade blade cut edge edge edge hand heave heave metal metal point,"['cut blade blade cut edge edge edge hand heave heave metal metal point', 'cut cut cut cut edge edge hand heave metal point saw tool wood ', 'build cut cut cut edge hand heave heave metal piece tool wood ']"
Synset('hook_wrench.n.01'),tool,hook_wrench,1,0,0.0,1.0129032258064516,0.8447588680749303,11,2,1,nb,hook hold hold metal screw ,"['hook hold hold metal screw ', 'hook hold metal plastic round string ']"
Synset('icepick.n.01'),tool,icepick,1,0,7.85,1.0129032258064516,1.3297130330809086,7,2,1,b,pick pick pick pick ,"['pick pick pick pick ', 'pick pick pick pick ']"
Synset('jack_plane.n.01'),tool,jack_plane,1,0,0.0,1.0129032258064516,0.6101036269430051,10,1,1,nb,airplane airplane fly large metal plane transport transport ,['airplane airplane fly large metal plane transport transport ']
Synset('jointer.n.01'),tool,jointer,1,0,0.0,1.0129032258064516,1.3140693503387804,7,4,1,nb,bend join join piece sew sew together ,"['bend join join piece sew sew together ', 'airplane airplane fly metal plane plane ', 'airplane airplane plane plane plane transport ', 'airplane long plane long plane ']"
Synset('keyhole_saw.n.01'),tool,keyhole_saw,1,0,0.0,1.1141935483870968,1.4392188122758072,11,1,1,nb,hole hole hole see see ,['hole hole hole see see ']
Synset('locking_pliers.n.01'),tool,locking_pliers,1,0,0.0,1.0129032258064516,0.5318852132323635,14,1,1,nb,accessory hold hold hold metal plastic pull ,['accessory hold hold hold metal plastic pull ']
Synset('lug_wrench.n.01'),tool,lug_wrench,1,0,7.85,1.0129032258064516,1.3610003985651653,10,1,1,nb,break hold hold hold metal screw tool ,['break hold hold hold metal screw tool ']
Synset('match_plane.n.01'),tool,match_plane,1,0,0.0,1.0129032258064516,1.4235751295336787,11,2,1,nb,airplane airplane fly plane plane plane transport travel ,"['airplane airplane fly plane plane plane transport travel ', 'airplane dance dance music music music sing song ']"
Synset('maul.n.01'),tool,maul,1,0,0.0,1.0129032258064516,0.9073335990434436,4,3,5,nb,act animal animal animal bad bad bad danger danger danger dog danger danger human hurt hurt hurt,"['act animal animal animal bad bad bad danger danger danger dog danger danger human hurt hurt hurt', 'breakledge hammer hammer hand heave heave large heave metal large metal', 'breakledge hammer hammer hammer heave heave large heave loud loud loud metal']"
Synset('miter_box.n.01'),tool,miter_box,1,0,0.0,0.9116129032258066,1.0324830609804705,9,2,1,b,box cut box cut piece piece ,"['box cut box cut piece piece ', 'box box contain hold metal plastic store ']"
Synset('monkey-wrench.n.01'),tool,monkey-wrench,1,0,0.0,1.1141935483870968,0.922977281785572,13,2,1,nb,animal claw claw claw hand hold hand hold metal metal plastic round small tool ,"['animal claw claw claw hand hold hand hold metal metal plastic round small tool ', 'animal animal claw claw claw hand hold hand hold human long metal metal object plastic']"
Synset('nailfile.n.01'),tool,nailfile,1,0,0.0,1.0129032258064516,0.6101036269430051,8,1,1,nb,bend nail nail nail polish polish polish ,['bend nail nail nail polish polish polish ']
Synset('needlenose_pliers.n.01'),tool,needlenose_pliers,1,0,0.0,1.0129032258064516,0.7196094061379036,17,1,1,nb,break break hold hold hold metal plastic pull string ,['break break hold hold hold metal plastic pull string ']
Synset('open-end_wrench.n.01'),tool,open-end_wrench,1,1,0.0,1.0129032258064516,1.3140693503387804,13,2,1,nb,begin end end end tool ,"['begin end end end tool ', 'appliance eat food metal plastic round round ']"
Synset('openside_plane.n.01'),tool,openside_plane,1,1,0.0,1.0129032258064516,0.6726783579115185,12,2,1,nb,airplane airplane close door open plane plane ,"['airplane airplane close door open plane plane ', 'animal beak beak bird bird bird fly fly large mammal small wing ']"
Synset('palette_knife.n.01'),tool,palette_knife,1,0,0.0,1.0129032258064516,1.173276205659625,13,1,1,nb,cut edge cut edge edge edge sharp sharp sharp tool ,['cut edge cut edge edge edge sharp sharp sharp tool ']
Synset('pestle.n.03'),tool,pestle,1,0,0.0,0.9116129032258066,1.0950577919489837,6,1,4,b,bug bug bug fly insect small ,['bug bug bug fly insect small ']
Synset('phillips_screwdriver.n.01'),tool,phillips_screwdriver,1,0,0.0,1.0129032258064516,0.6570346751693902,20,1,1,nb,carpentry screw screw tool ,['bend tool screw screw tool ']
Synset('pick.n.06'),tool,pick,1,2,0.0,0.9116129032258066,0.9073335990434436,4,1,21,nb,pick pick pick ,['pick pick pick ']
Synset('pin_wrench.n.01'),tool,pin_wrench,1,0,0.0,1.0129032258064516,1.3297130330809086,10,1,1,nb,break hold hold hold metal round screw tool ,['break hold hold hold metal round screw tool ']
Synset('pincer.n.01'),tool,pincer,1,1,0.0,0.9116129032258066,1.0481267437225987,6,4,2,b,animal appendage appendage arm appendage grasp grasp grasp grip grasp grasp hold,"['animal appendage appendage arm appendage grasp grasp grasp grip grasp grasp hold', 'two appendage appendage arm appendage body appendage hand long appendage', 'blow blow dry electric electric electric hair metal plastic round round ', 'combine hair pair pair pair ']"
Synset('pipe_wrench.n.01'),tool,pipe_wrench,1,3,0.0,1.1141935483870968,1.673874053407732,11,2,1,nb,break hold hold hold metal metal plastic screw tool ,"['break hold hold hold metal metal plastic screw tool ', 'break break hold hold hold metal plastic screw tool ']"
Synset('pitchfork.n.01'),tool,pitchfork,1,0,7.85,0.9116129032258066,1.3297130330809086,9,1,2,b,cut edge edge edge sharp sharp sharp tool ,['cut edge edge edge sharp sharp sharp tool ']
Synset('pitsaw.n.01'),tool,pitsaw,1,0,0.0,1.1141935483870968,1.845954563571144,6,1,1,nb,bark chop chop chop fire fire fire hand heave heave metal metal,['bark chop chop chop fire fire fire hand heave heave metal metal']
Synset('plane.n.05'),tool,plane,2,17,0.0,0.9116129032258066,1.2202072538860105,5,3,9,b,airplane airplane fly large plane transport travel ,"['airplane airplane fly large plane transport travel ', 'airplane build build build construct build fly large metal person place work ', 'build construct wood wood ']"
Synset('plastering_trowel.n.01'),tool,plastering_trowel,1,0,0.0,1.0129032258064516,0.6570346751693902,17,1,1,nb,build color color decorate decorate hard hard material paint ,['build color color decorate decorate hard hard material paint ']
Synset('plexor.n.01'),tool,plexor,1,0,0.0,1.0129032258064516,1.7677361498605022,6,3,1,nb,bundle cube cube cube divide cube cube number number ,"['bundle cube cube cube divide cube cube number number ', 'child care care help person raise ', 'blow blow blow blow noise noise ']"
Synset('pliers.n.01'),tool,pliers,2,5,7.85,0.9116129032258066,1.0794141092068552,6,3,2,b,bend hold hold hold metal plastic sharp sharp tool ,"['bend hold hold hold metal plastic sharp sharp tool ', 'two pair pair pair together together together ', 'build construct construct paper wood ']"
Synset('plunger.n.03'),tool,plunger,1,0,0.0,0.9116129032258066,1.533080908728577,7,2,4,b,breath cold cold cold water cold water ,"['breath cold cold cold water cold water ', 'bathroom help person wash ']"
Synset('pointing_trowel.n.01'),tool,pointing_trowel,1,0,0.0,1.0129032258064516,1.0794141092068552,15,1,1,nb,act cloth cloth cloth clean cloth cloth color dirt dirt dirt hand hold hand human,['act cloth cloth cloth clean cloth cloth color dirt dirt dirt hand hold hand human']
Synset('posthole_digger.n.01'),tool,posthole_digger,1,0,0.0,1.0129032258064516,0.4849541650059785,15,2,1,nb,dig dig dig hole hole hole rock ,"['dig dig dig hole hole hole rock ', 'build dig dig dig hole hole hole ']"
Synset('pruner.n.02'),tool,pruner,1,0,0.0,1.215483870967742,1.6895177361498606,6,3,2,nb,appliance cloth cloth cloth color hair hair hair nail nail nail polish polish,"['appliance cloth cloth cloth color hair hair hair nail nail nail polish polish', 'cut tree cut tree ', 'cut cut cut food knife knife ']"
Synset('pruning_saw.n.01'),tool,pruning_saw,1,1,0.0,1.1141935483870968,0.5005978477481068,11,1,1,nb,cut cut cut tree ,['cut cut cut tree ']
Synset('pump-type_pliers.n.01'),tool,pump-type_pliers,1,0,0.0,1.0129032258064516,0.2502989238740534,16,1,1,nb,bend hold hold hold metal plastic round string tool ,['bend hold hold hold metal plastic round string tool ']
Synset('rasp.n.02'),tool,rasp,1,0,0.0,1.0129032258064516,0.6883220406536469,4,2,4,nb,act animal animal animal annoy annoy annoy body annoy body body body breath annoy body,"['act animal animal animal annoy annoy annoy body annoy body body body breath annoy body', 'box wood file wood ']"
Synset('rat-tail_file.n.01'),tool,rat-tail_file,1,0,0.0,1.0129032258064516,0.7352530888800318,13,1,1,nb,animal animal hair long tail tail ,['animal animal hair long tail tail ']
Synset('rib_joint_pliers.n.01'),tool,rib_joint_pliers,1,0,0.0,1.0129032258064516,0.2502989238740534,16,1,1,nb,bend bone connect connect connect finger long part part together ,['bend bone connect connect connect finger long part part together ']
Synset('ripsaw.n.01'),tool,ripsaw,1,0,0.0,1.1141935483870968,0.7508967716221602,6,2,1,nb,bend chop chop chop cut edge edge end end end metal metal round round,"['bend chop chop chop cut edge edge end end end metal metal round round', 'cut cut cut edge edge edge part piece ']"
Synset('roach_clip.n.01'),tool,roach_clip,1,0,0.0,1.0129032258064516,0.8760462335591869,10,2,1,nb,animal attach attach attach insect attach attach clip clip small small ,"['animal attach attach attach insect attach attach clip clip small small ', 'bug hold hold hold ']"
Synset('round_file.n.01'),tool,round_file,1,0,0.0,1.0129032258064516,1.0950577919489837,10,1,1,nb,circle round round square square ,['circle round round square square ']
Synset('router_plane.n.01'),tool,router_plane,1,0,0.0,1.0129032258064516,1.392287764049422,12,1,1,nb,airplane airplane fly plane plane transport ,['airplane airplane fly plane plane transport ']
Synset('s_wrench.n.01'),tool,s_wrench,1,0,0.0,1.1141935483870968,0.5005978477481068,8,1,1,nb,break hold hold hold metal screw tool ,['break break hold hold hold metal plastic screw tool ']
Synset('saw.n.02'),tool,saw,1,16,15.7,0.9116129032258066,0.6883220406536469,3,1,28,b,act animal animal animal audible audible audible body audible brain comprehend comprehend comprehend communicate comprehend,['act animal animal animal audible audible audible body audible brain comprehend comprehend comprehend communicate comprehend']
Synset('scauper.n.01'),tool,scauper,1,0,0.0,1.0129032258064516,1.0481267437225987,7,2,1,nb,clean dirt dirt dirt house house person clean ,"['clean dirt dirt dirt house house person clean ', 'act burn burn burn fire burn burn danger danger danger fire danger fire fire danger']"
Synset('scoop.n.05'),tool,scoop,1,0,15.7,1.0129032258064516,0.6726783579115185,5,2,8,nb,act air air animal animal animal eat egg eat egg egg egg food hand hold,"['act air air animal animal animal eat egg eat egg egg egg food hand hold', 'clean dirt dirt dirt move shovel shovel ']"
Synset('screw_key.n.01'),tool,screw_key,1,0,0.0,1.0129032258064516,0.4380231167795934,9,1,1,nb,accessory key hold screw screw screw ,['accessory key hold screw screw screw ']
Synset('screw_wrench.n.01'),tool,screw_wrench,1,0,0.0,1.1141935483870968,1.157632522917497,12,1,1,nb,break hold hold screw tool ,['break hold hold screw tool ']
Synset('screwdriver.n.01'),tool,screwdriver,1,3,0.0,0.9116129032258066,1.1889198884017538,11,1,2,b,bend tool screw screw tool ,['bend tool screw screw tool ']
Synset('scriber.n.01'),tool,scriber,1,0,0.0,1.0129032258064516,0.8604025508170586,6,3,5,nb,book write sign paper write ,"['book write sign paper write ', 'book document paper paper write ', 'act animal animal animal itch itch itch claw claw claw dirt dirt dirt dig dirt']"
Synset('scrub_plane.n.01'),tool,scrub_plane,1,0,0.0,1.0129032258064516,0.8760462335591869,11,1,1,nb,airplane clean clean clean plane ,['airplane clean clean clean plane ']
Synset('set_square.n.01'),tool,set_square,1,0,0.0,1.1141935483870968,0.6883220406536469,10,1,1,nb,circle square round square square ,['circle square round square square ']
Synset('shovel.n.01'),tool,shovel,1,9,0.0,0.9116129032258066,1.4392188122758072,6,1,5,b,act animal dirt dirt dirt dig dirt dirt ground ground ground human move move move,['act animal dirt dirt dirt dig dirt dirt ground ground ground human move move move']
Synset('slice.n.06'),tool,slice,1,0,0.0,1.0129032258064516,0.5631725787166202,5,1,10,nb,break slice slice slice ,['break slice slice slice ']
Synset('slick.n.04'),tool,slick,1,0,0.0,1.0129032258064516,0.5788162614587485,5,1,10,nb,cold cold hard ice hard ice smooth snow ,['cold cold hard ice hard ice smooth snow ']
Synset('slip-joint_pliers.n.01'),tool,slip-joint_pliers,1,0,0.0,1.0129032258064516,1.4392188122758072,17,1,1,nb,bend hold hold hold metal plastic screw together ,['bend hold hold hold metal plastic screw together ']
Synset('smooth_plane.n.01'),tool,smooth_plane,1,0,0.0,1.0129032258064516,0.4536667995217218,12,2,1,nb,airplane smooth plane plane smooth smooth ,"['airplane smooth plane plane smooth smooth ', 'airplane move plane smooth plane ']"
Synset('socket_wrench.n.01'),tool,socket_wrench,1,0,7.85,1.0129032258064516,1.157632522917497,13,1,1,nb,break break hold hold hold metal socket screw ,['break break hold hold hold metal socket screw ']
Synset('soldering_iron.n.01'),tool,soldering_iron,1,0,0.0,0.9116129032258066,0.969908330011957,14,1,1,b,build fire fire hot iron hot metal solder ,['build fire fire hot iron hot metal solder ']
Synset('sparkplug_wrench.n.01'),tool,sparkplug_wrench,1,0,0.0,1.0129032258064516,1.6112993224392187,16,1,1,nb,electric electric electric electric plug socket socket socket ,['electric electric electric electric plug socket socket socket ']
Synset('spiral_ratchet_screwdriver.n.01'),tool,spiral_ratchet_screwdriver,1,0,7.85,1.0129032258064516,2.471701873256277,19,2,1,nb,bend bolt screw screw tool ,"['bend bolt screw screw tool ', 'act bolt bolt bolt fasten fasten screw screw tool ']"
Synset('spokeshave.n.01'),tool,spokeshave,1,0,0.0,1.0129032258064516,2.221402949382224,10,1,1,nb,act speak speak speak talk talk ,['act speak speak speak talk talk ']
Synset('spud.n.02'),tool,spud,1,0,0.0,1.0129032258064516,0.7978278198485452,4,2,4,nb,bake bake brown brown crunch eat food garden garden green ground grow ground grow,"['bake bake brown brown crunch eat food garden garden green ground grow ground grow', 'bake brown brown brown crunch crunch crunch eat food ground ground grow ground grow']"
Synset('square.n.08'),tool,square,1,4,0.0,0.9116129032258066,1.5487245914707055,6,1,25,b,circle circle round square square square ,['circle circle round square square square ']
Synset('stillson_wrench.n.01'),tool,stillson_wrench,1,0,0.0,1.215483870967742,1.5800119569549622,15,1,1,nb,child child child child hand hold hold hold metal plastic small tool ,['break hold hold hand hold hold metal screw tool ']
Synset('straightedge.n.01'),tool,straightedge,1,0,0.0,0.9116129032258066,2.1431845356715824,12,1,1,b,cut edge cut edge sharp sharp tool ,['cut edge cut edge sharp sharp tool ']
Synset('t-square.n.01'),tool,t-square,2,0,0.0,0.9116129032258066,0.7665404543642885,8,1,1,nb,circle square round square square ,['circle square round square square ']
Synset('tack_hammer.n.01'),tool,tack_hammer,1,0,0.0,1.0129032258064516,0.6570346751693902,11,1,1,nb,build hammer hammer nail nail nail wood ,['build hammer hammer nail nail nail wood ']
Synset('tap_wrench.n.01'),tool,tap_wrench,1,0,0.0,1.0129032258064516,0.9542646472698286,10,1,1,nb,break hold hold hold metal plastic round round ,['break hold hold hold metal plastic round round ']
Synset('taper_file.n.01'),tool,taper_file,1,0,0.0,1.0129032258064516,0.4380231167795934,10,1,1,nb,act appendage appendage attach appendage document document document paper piece piece ,['act appendage appendage attach appendage document document document paper piece piece ']
Synset('tire_iron.n.01'),tool,tire_iron,2,0,0.0,0.9116129032258066,1.6112993224392187,9,2,1,b,black black black black car car color car color hard hard hard metal metal round,"['black black black black car car color car color hard hard hard metal metal round', 'car tool tool tool ']"
Synset('toothpick.n.01'),tool,toothpick,2,0,0.0,0.8103225806451614,1.4548624950179354,9,1,1,b,bend pick pick pick sharp sharp teeth ,['bend pick pick pick sharp sharp teeth ']
Synset('torque_wrench.n.01'),tool,torque_wrench,1,0,0.0,1.0129032258064516,1.173276205659625,13,1,1,nb,bend bolt hold hold hold metal screw tool ,['bend bolt hold hold hold metal screw tool ']
